type,id,slug,url,current_len,current_title,raw_title,suggested_len,suggested_title
post,322505,%d7%91-web-dev-%d7%9e%d7%a8%d7%97%d7%99%d7%91%d7%99%d7%9d-%d7%90%d7%aa-%d7%94%d7%aa%d7%9e%d7%95%d7%a0%d7%94-%d7%90%d7%aa%d7%a8-%d7%a0%d7%91%d7%97%d7%9f-%d7%a2%d7%9b%d7%a9%d7%99%d7%95-%d7%92%d7%9d,https://brndini.co.il/%d7%a9%d7%99%d7%9e%d7%95%d7%a9%d7%99/%d7%91-web-dev-%d7%9e%d7%a8%d7%97%d7%99%d7%91%d7%99%d7%9d-%d7%90%d7%aa-%d7%94%d7%aa%d7%9e%d7%95%d7%a0%d7%94-%d7%90%d7%aa%d7%a8-%d7%a0%d7%91%d7%97%d7%9f-%d7%a2%d7%9b%d7%a9%d7%99%d7%95-%d7%92%d7%9d/,103,"ב-web.dev מרחיבים את התמונה: אתר נבחן עכשיו גם לפי תגובה, גילוי ויכולות מתקדמות | בניית אתרים | ברנדיני","ב-web.dev מרחיבים את התמונה: אתר נבחן עכשיו גם לפי תגובה, גילוי ויכולות מתקדמות",56,ב-web.dev מרחיבים את התמונה: אתר נבחן עכשיו גם לפי תגובה
post,322826,%d7%9e%d7%a1%d7%a8-%d7%97%d7%93%d7%a9-%d7%9c%d7%9e%d7%a9%d7%95%d7%95%d7%a7%d7%99-%d7%91%d7%99%d7%98%d7%95%d7%97-%d7%91%d7%97%d7%99%d7%a8%d7%aa-%d7%a0%d7%95%d7%a9%d7%90%d7%99%d7%9d-%d7%9c%d7%a7%d7%99,https://brndini.co.il/%d7%a7%d7%99%d7%93%d7%95%d7%9d/%d7%9e%d7%a1%d7%a8-%d7%97%d7%93%d7%a9-%d7%9c%d7%9e%d7%a9%d7%95%d7%95%d7%a7%d7%99-%d7%91%d7%99%d7%98%d7%95%d7%97-%d7%91%d7%97%d7%99%d7%a8%d7%aa-%d7%a0%d7%95%d7%a9%d7%90%d7%99%d7%9d-%d7%9c%d7%a7%d7%99/,98,מסר חדש למשווקי ביטוח: בחירת נושאים לקידום עוברת משכפול מונחים להבנת צורך | קידום אורגני | ברנדיני,מסר חדש למשווקי ביטוח: בחירת נושאים לקידום עוברת משכפול מונחים להבנת צורך,55,מסר חדש למשווקי ביטוח: בחירת נושאים לקידום עוברת משכפול
post,322827,%d7%a1%d7%93%d7%a8%d7%aa-%d7%94%d7%a2%d7%93%d7%9b%d7%95%d7%a0%d7%99%d7%9d-%d7%a9%d7%9c-web-dev-%d7%9e%d7%97%d7%93%d7%93%d7%aa-%d7%9e%d7%94-%d7%90%d7%aa%d7%a8-%d7%91%d7%99%d7%98%d7%95%d7%97-%d7%97,https://brndini.co.il/%d7%90%d7%aa%d7%a8%d7%99%d7%9d/%d7%a1%d7%93%d7%a8%d7%aa-%d7%94%d7%a2%d7%93%d7%9b%d7%95%d7%a0%d7%99%d7%9d-%d7%a9%d7%9c-web-dev-%d7%9e%d7%97%d7%93%d7%93%d7%aa-%d7%9e%d7%94-%d7%90%d7%aa%d7%a8-%d7%91%d7%99%d7%98%d7%95%d7%97-%d7%97/,95,סדרת העדכונים של web.dev מחדדת מה אתר ביטוח חייב להבהיר כבר במסך הראשון | בניית אתרים | ברנדיני,סדרת העדכונים של web.dev מחדדת מה אתר ביטוח חייב להבהיר כבר במסך הראשון,55,סדרת העדכונים של web.dev מחדדת מה אתר ביטוח חייב להבהיר
post,322834,%d7%9e%d7%a4%d7%aa-%d7%a7%d7%a8%d7%99%d7%90%d7%94-%d7%a0%d7%9b%d7%95%d7%a0%d7%94-%d7%9c%d7%90%d7%aa%d7%a8-%d7%91%d7%99%d7%98%d7%95%d7%97-%d7%9b%d7%9a-%d7%91%d7%95%d7%a0%d7%99%d7%9d-%d7%9e%d7%a1%d7%9c,https://brndini.co.il/brn-magazin/%d7%9e%d7%a4%d7%aa-%d7%a7%d7%a8%d7%99%d7%90%d7%94-%d7%a0%d7%9b%d7%95%d7%a0%d7%94-%d7%9c%d7%90%d7%aa%d7%a8-%d7%91%d7%99%d7%98%d7%95%d7%97-%d7%9b%d7%9a-%d7%91%d7%95%d7%a0%d7%99%d7%9d-%d7%9e%d7%a1%d7%9c/,91,מפת קריאה נכונה לאתר ביטוח: כך בונים מסלול מידע שלא מעמיס על המשתמש | בניית אתרים | ברנדיני,מפת קריאה נכונה לאתר ביטוח: כך בונים מסלול מידע שלא מעמיס על המשתמש,57,מפת קריאה נכונה לאתר ביטוח: כך בונים מסלול מידע שלא מעמיס
post,322837,%d7%9c%d7%90-%d7%9b%d7%9c-%d7%a0%d7%95%d7%a9%d7%90-%d7%97%d7%99%d7%a4%d7%95%d7%a9-%d7%a8%d7%90%d7%95%d7%99-%d7%9c%d7%a2%d7%9e%d7%95%d7%93-%d7%90%d7%99%d7%9a-%d7%9c%d7%91%d7%97%d7%95%d7%a8-%d7%aa,https://brndini.co.il/%d7%a7%d7%99%d7%93%d7%95%d7%9d/%d7%9c%d7%90-%d7%9b%d7%9c-%d7%a0%d7%95%d7%a9%d7%90-%d7%97%d7%99%d7%a4%d7%95%d7%a9-%d7%a8%d7%90%d7%95%d7%99-%d7%9c%d7%a2%d7%9e%d7%95%d7%93-%d7%90%d7%99%d7%9a-%d7%9c%d7%91%d7%97%d7%95%d7%a8-%d7%aa/,88,לא כל נושא חיפוש ראוי לעמוד: איך לבחור תוכן לקידום בתחום הביטוח | קידום אורגני | ברנדיני,לא כל נושא חיפוש ראוי לעמוד: איך לבחור תוכן לקידום בתחום הביטוח,56,לא כל נושא חיפוש ראוי לעמוד: איך לבחור תוכן לקידום בתחום
post,322793,%d7%91%d7%99%d7%9f-%d7%90%d7%aa%d7%a8-%d7%9e%d7%a8%d7%a9%d7%99%d7%9d-%d7%9c%d7%90%d7%aa%d7%a8-%d7%9e%d7%a8%d7%92%d7%99%d7%a2-%d7%90%d7%99%d7%96%d7%95-%d7%a9%d7%a4%d7%aa-%d7%a2%d7%99%d7%a6%d7%95%d7%91,https://brndini.co.il/%d7%a2%d7%99%d7%a6%d7%95%d7%91/%d7%91%d7%99%d7%9f-%d7%90%d7%aa%d7%a8-%d7%9e%d7%a8%d7%a9%d7%99%d7%9d-%d7%9c%d7%90%d7%aa%d7%a8-%d7%9e%d7%a8%d7%92%d7%99%d7%a2-%d7%90%d7%99%d7%96%d7%95-%d7%a9%d7%a4%d7%aa-%d7%a2%d7%99%d7%a6%d7%95%d7%91/,87,בין אתר מרשים לאתר מרגיע: איזו שפת עיצוב בונה אמון בתחום הביטוח | בניית אתרים | ברנדיני,בין אתר מרשים לאתר מרגיע: איזו שפת עיצוב בונה אמון בתחום הביטוח,56,בין אתר מרשים לאתר מרגיע: איזו שפת עיצוב בונה אמון בתחום
post,322821,%d7%94%d7%98%d7%a2%d7%95%d7%99%d7%95%d7%aa-%d7%a9%d7%92%d7%95%d7%a8%d7%9e%d7%95%d7%aa-%d7%9c%d7%90%d7%aa%d7%a8-%d7%91%d7%aa%d7%97%d7%95%d7%9d-%d7%94%d7%91%d7%99%d7%98%d7%95%d7%97-%d7%9c%d7%94%d7%a1,https://brndini.co.il/brn-magazin/%d7%94%d7%98%d7%a2%d7%95%d7%99%d7%95%d7%aa-%d7%a9%d7%92%d7%95%d7%a8%d7%9e%d7%95%d7%aa-%d7%9c%d7%90%d7%aa%d7%a8-%d7%91%d7%aa%d7%97%d7%95%d7%9d-%d7%94%d7%91%d7%99%d7%98%d7%95%d7%97-%d7%9c%d7%94%d7%a1/,86,הטעויות שגורמות לאתר בתחום הביטוח להסביר יותר מדי ולהבהיר פחות | בניית אתרים | ברנדיני,הטעויות שגורמות לאתר בתחום הביטוח להסביר יותר מדי ולהבהיר פחות,57,הטעויות שגורמות לאתר בתחום הביטוח להסביר יותר מדי ולהבהיר
post,322832,%d7%9c%d7%90-%d7%9b%d7%9c-%d7%a4%d7%99%d7%a8%d7%95%d7%98-%d7%99%d7%95%d7%a6%d7%a8-%d7%91%d7%94%d7%99%d7%a8%d7%95%d7%aa-%d7%90%d7%99%d7%9a-%d7%9c%d7%91%d7%97%d7%95%d7%a8-%d7%9e%d7%91%d7%a0%d7%94,https://brndini.co.il/%d7%a9%d7%99%d7%9e%d7%95%d7%a9%d7%99/%d7%9c%d7%90-%d7%9b%d7%9c-%d7%a4%d7%99%d7%a8%d7%95%d7%98-%d7%99%d7%95%d7%a6%d7%a8-%d7%91%d7%94%d7%99%d7%a8%d7%95%d7%aa-%d7%90%d7%99%d7%9a-%d7%9c%d7%91%d7%97%d7%95%d7%a8-%d7%9e%d7%91%d7%a0%d7%94/,84,לא כל פירוט יוצר בהירות: איך לבחור מבנה מידע נכון לאתר ביטוח | בניית אתרים | ברנדיני,לא כל פירוט יוצר בהירות: איך לבחור מבנה מידע נכון לאתר ביטוח,54,לא כל פירוט יוצר בהירות: איך לבחור מבנה מידע נכון לאתר
post,322835,%d7%9c%d7%90-%d7%9b%d7%9c-%d7%a9%d7%90%d7%9c%d7%94-%d7%a6%d7%a8%d7%99%d7%9b%d7%94-%d7%9c%d7%94%d7%a4%d7%95%d7%9a-%d7%9c%d7%a2%d7%9e%d7%95%d7%93-%d7%9b%d7%9a-%d7%91%d7%95%d7%97%d7%a8%d7%99%d7%9d,https://brndini.co.il/%d7%a7%d7%99%d7%93%d7%95%d7%9d/%d7%9c%d7%90-%d7%9b%d7%9c-%d7%a9%d7%90%d7%9c%d7%94-%d7%a6%d7%a8%d7%99%d7%9b%d7%94-%d7%9c%d7%94%d7%a4%d7%95%d7%9a-%d7%9c%d7%a2%d7%9e%d7%95%d7%93-%d7%9b%d7%9a-%d7%91%d7%95%d7%97%d7%a8%d7%99%d7%9d/,83,לא כל שאלה צריכה להפוך לעמוד: כך בוחרים נושאים לקידום אורגני בתחום הביטוח | ברנדיני,לא כל שאלה צריכה להפוך לעמוד: כך בוחרים נושאים לקידום אורגני בתחום הביטוח,53,לא כל שאלה צריכה להפוך לעמוד: כך בוחרים נושאים לקידום
page,461,%d7%a1%d7%95%d7%9b%d7%a0%d7%95%d7%aa-%d7%a4%d7%a8%d7%a1%d7%95%d7%9d-%d7%93%d7%99%d7%92%d7%99%d7%98%d7%9c%d7%99,https://brndini.co.il/,82,"ברנדיני | סוכנות פרסום דיגיטלי, מיתוג ובניית אתרים לעסקים | שירות מקצועי | ברנדיני","ברנדיני | סוכנות פרסום דיגיטלי, מיתוג ובניית אתרים לעסקים",50,"ברנדיני | סוכנות פרסום דיגיטלי, מיתוג ובניית אתרים"
